ANN,Activations,Swarm,Iterations,Alpha,Beta,Gamma,Mean_Test_MAE,Std_Test_MAE
"[8, 8, 1]",['relu'],10,50,0.9,0.1,0.1,25.8556,1.2721
"[8, 8, 1]",['relu'],25,20,0.9,0.1,0.1,28.52,1.0272
"[8, 8, 1]",['relu'],50,10,0.9,0.1,0.1,29.2722,0.8527
"[8, 8, 1]",['relu'],30,50,0.7,0.3,0.1,30.8314,0.8844
"[8, 8, 1]",['relu'],30,50,0.7,0.1,0.2,29.5851,0.9609
"[8, 16, 8, 1]","['relu', 'relu']",10,50,0.9,0.1,0.1,15.0369,2.2167
"[8, 16, 8, 1]","['relu', 'relu']",25,20,0.9,0.1,0.1,17.7889,2.2505
"[8, 16, 8, 1]","['relu', 'relu']",50,10,0.9,0.1,0.1,17.7206,2.7496
"[8, 16, 8, 1]","['relu', 'relu']",30,50,0.7,0.3,0.1,23.0213,2.7363
"[8, 16, 8, 1]","['relu', 'relu']",30,50,0.7,0.1,0.2,21.115,2.9061
"[8, 32, 16, 8, 1]","['relu', 'relu', 'relu']",10,50,0.9,0.1,0.1,12.7795,1.3287
"[8, 32, 16, 8, 1]","['relu', 'relu', 'relu']",25,20,0.9,0.1,0.1,14.7949,1.3287
"[8, 32, 16, 8, 1]","['relu', 'relu', 'relu']",50,10,0.9,0.1,0.1,15.6829,0.6971
"[8, 32, 16, 8, 1]","['relu', 'relu', 'relu']",30,50,0.7,0.3,0.1,16.1503,1.04
"[8, 32, 16, 8, 1]","['relu', 'relu', 'relu']",30,50,0.7,0.1,0.2,14.8053,1.8422
